catch_name,family,interagency_code
Lobster,,SLV
Seaweed,,SWX
Sea cucumber,,CUX
Short mackerel,Scombridae,RAX
Mackerel scad,Carangidae,SDX
Jacks/Trevally,Carangidae,CGX
Tuna/Bonito,Scombridae,TUN
Fusilier,Caesionidae,CJX
Sardines/pilchards,Clupeidae,CLP
Garfish,Hemiramphidae,GZP
Soldierfish,Holocentridae,YDX
Long tom,Belonidae,BEN
Snapper/seaperch,Lutjanidae,SNA
Spinefoot,Siganidae,SPI
Grouper,Serranidae,GPX
Emperor,Lethrinidae,EMP
Parrotfish,Scaridae,PWT
Triggerfish,Balistidae,TRI
Flying fish,Exocoetidae,FLY
Unicornfish,Acanthuridae,SUR
Mojarra/Silverbelly,Gerreidae,MOJ
Jobfish,Lutjanidae,LWX
Wrasse,Labridae,WRA
Barracuda,Sphyraenidae,BAR
Chub,Kyphosidae,KYX
Octopus,Octopodidae,OCZ
Moonfish,Menidae,MOO
Moontail bullseye,Priacanthidae,BWH
Ponyfish,Leiognathidae,LGE
Bream,Nemipteridae,MOB
Blackspot sweeper,Pempheridae,MHL
Goatfish,Mullidae,GOX
Mullet,Mugilidae,MUL
Terapon,Terapontidae,THO
Shark,Carcharhinidae,SKH
Sweetlips,Haemulidae,GRX
Moray,Muraenidae,MUI
Sergeant,Pomacentridae,DSF
Shrimp,,PEZ
Butterflyfish,Chaetodontidae,IHX
Cardinalfish,Apogonidae,APO
Cuttlefish,Sepiidae,IAX
Javelin/Grunt,Haemulidae,BGX
Sailfish,Istiophoridae,SFA
Cobia,Rachycentridae,CBA
Crab,,CRA
Dolphinfish,Coryphaenidae,DOX
Milkfish,Chanidae,MIL
Threadfin,Polynemidae,THF
Cockles,Cardiidae,COZ
Remora,Echeneidae,ECN
Tripodfish,Triacanthidae,PUX
Wolf herring,Chirocentridae,DOS
Stingrays,,SRX
Sicklefish,Drepaneidae,DRZ
Other,,MZZ
