food_id,ISSCAAP,integragency_code,food_name,habitat,food_state,protein(g),calcium(mg),iron(mg),zinc(mg),selenium(mcg),vitaminA(mcg),omega3(g)
91001,12,TLN,"Nile tilapia, fillet, raw (n.s.)",,r,18.3,15,0.8,0.44,24,1,0.19
91067,12,TLN,"Nile tilapia, fillet, steamed (n.s.)",,c,21.1,17,0.7,0.51,25,1,0.22
91128,12,TLN,"Nile tilapia, fillet, boiled in recipe (n.s.)",,c,21.1,17,0.9,0.51,28,1,0.22
91189,12,TLN,"Nile tilapia, fillet, grilled (n.s.)",,c,23.2,18,0.8,0.56,30,1,0.24
91002,12,TLN,"Nile tilapia, farmed, fillet, raw (n.s.)",F,r,18.1,15,0.8,0.45,24,1,0.1
91068,12,TLN,"Nile tilapia, farmed, fillet, steamed (n.s.)",F,c,20.9,17,0.8,0.52,25,1,0.11
91129,12,TLN,"Nile tilapia, farmed, fillet, boiled in recipe (n.s.)",F,c,20.9,17,0.9,0.52,28,1,0.11
91190,12,TLN,"Nile tilapia, farmed, fillet, grilled (n.s.)",F,c,23,18,0.9,0.57,30,1,0.12
91003,12,TLN,"Nile tilapia, farmed, fillet w/o skin, raw (China)",F,r,17.5,13,0.2,0.33,23,1,0.05
91069,12,TLN,"Nile tilapia, farmed, fillet w/o skin, steamed (China)",F,c,20.1,15,0.2,0.38,24,1,0.05
91130,12,TLN,"Nile tilapia, farmed, fillet w/o skin, boiled in recipe (China)",F,c,20.1,15,0.2,0.38,26,1,0.05
91191,12,TLN,"Nile tilapia, farmed, fillet w/o skin, grilled (China)",F,c,22.1,17,0.2,0.42,29,1,0.06
91004,12,TLN,"Nile tilapia, dressed w/ head, raw (Bangladesh)",,r,19.5,108,1,1.04,39,10,
91070,12,TLN,"Nile tilapia, dressed w/ head, steamed (Bangladesh)",,c,22.4,124,0.9,1.2,40,10,
91131,12,TLN,"Nile tilapia, dressed w/ head, boiled in recipe (Bangladesh)",,c,22.4,124,1.1,1.2,45,10,
91192,12,TLN,"Nile tilapia, dressed w/ head, grilled (Bangladesh)",,c,24.7,136,1,1.32,49,11,
91005,12,TLN,"Nile tilapia, wild, fillet w/ bones, raw (Africa)",W,r,16.3,883,3,7,24,1,0.28
91071,12,TLN,"Nile tilapia, wild, fillet w/ bones, steamed (Africa)",W,c,18.8,1010,2.8,8.05,25,1,0.33
91132,12,TLN,"Nile tilapia, wild, fillet w/ bones, boiled in recipe (Africa)",W,c,18.8,1010,3.4,8.05,28,1,0.33
91193,12,TLN,"Nile tilapia, wild, fillet w/ bones, grilled (Africa)",W,c,20.7,1120,3.2,8.86,30,1,0.37
91006,12,TLN,"Nile tilapia, wild, dorsal muscle w/o skin, raw",,r,19.9,15,0.1,0.47,24,1,0.1
91072,12,TLN,"Nile tilapia, wild, dorsal muscle w/o skin, steamed",,c,22.9,17,0.1,0.54,25,1,0.11
91133,12,TLN,"Nile tilapia, wild, dorsal muscle w/o skin, boiled in recipe ",,c,22.9,17,0.1,0.54,28,1,0.11
91194,12,TLN,"Nile tilapia, wild, dorsal muscle w/o skin, grilled",,c,25.2,18,0.1,0.59,30,1,0.12
91007,13,CTO,"Torpedo-shaped catfishes, raw",,r,17.3,23,0.7,0.66,38,9,
91073,13,CTO,"Torpedo-shaped catfishes, boiled",,c,20.9,28,0.7,0.8,41,10,
91134,13,CTO,"Torpedo-shaped catfishes, boiled in recipe",,c,20.9,28,0.9,0.8,46,10,
91195,13,CTO,"Torpedo-shaped catfishes, baked",,c,23.1,31,0.8,0.88,51,11,
91008,13,CBT,"Philippine catfish, whole, raw",,r,16.8,59,0.8,0.68,32,44,0.35
91074,13,CBT,"Philippine catfish, whole, boiled♦",,c,20.2,71,0.8,0.81,35,48,0.43
91135,13,CBT,"Philippine catfish, whole, boiled in recipe",,c,20.2,71,1,0.81,39,48,0.43
91196,13,CBT,"Philippine catfish, whole, baked",,c,22.4,78,0.9,0.9,43,53,0.48
91009,13,CLZ,"North African catfish, fillet, raw (n.s.)",,r,17.8,23,0.5,1.07,38,9,0.42
91075,13,CLZ,"North African catfish, fillet, boiled♦ (n.s.)",,c,21.5,28,0.5,1.29,41,10,0.5
91136,13,CLZ,"North African catfish, fillet, boiled in recipe (n.s.)",,c,21.5,28,0.7,1.29,46,10,0.5
91197,13,CLZ,"North African catfish, fillet, baked (n.s.)",,c,23.8,31,0.6,1.43,51,11,0.56
91010,13,CLZ,"North African catfish, wild, fillet w/ bones, raw",,r,18,832,3,8,38,9,0.68
91076,13,CLZ,"North African catfish, wild, fillet w/ bones, boiled♦",,c,21.7,1000,2.9,9.64,41,10,0.83
91137,13,CLZ,"North African catfish, wild, fillet w/ bones, boiled in recipe",,c,21.7,1000,3.6,9.64,46,10,0.83
91198,13,CLZ,"North African catfish, wild, fillet w/ bones, baked",,c,24,1110,3.4,10.7,51,11,0.92
91011,13,CLZ,"North African catfish, wild, fillet, raw",,r,18,23,0.54,1.07,38,9,0.68
91077,13,CLZ,"North African catfish, wild, fillet, boiled♦",,c,21.7,28,0.5,1.29,41,10,0.83
91138,13,CLZ,"North African catfish, wild, fillet, boiled in recipe",,c,21.7,28,0.7,1.29,46,10,0.83
91199,13,CLZ,"North African catfish, wild, fillet, baked",,c,24,31,0.6,1.43,51,11,0.92
91012,13,CMC,"Bighead catfish, fillet, raw (ASEAN)",,r,18.1,20,0.5,0.2,38,9,0.12
91078,13,CMC,"Bighead catfish, fillet, boiled♦ (ASEAN)",,c,21.8,24,0.5,0.24,41,10,0.15
