region,population_type,gender,age,count
Aileu,Urban,Total,0,77
Aileu,Urban,Total,1,66
Aileu,Urban,Total,2,78
Aileu,Urban,Total,3,75
Aileu,Urban,Total,4,102
Aileu,Urban,Total,5,86
Aileu,Urban,Total,6,80
Aileu,Urban,Total,7,64
Aileu,Urban,Total,8,48
Aileu,Urban,Total,9,57
Aileu,Urban,Total,10,70
Aileu,Urban,Total,11,70
Aileu,Urban,Total,12,54
Aileu,Urban,Total,13,51
Aileu,Urban,Total,14,47
Aileu,Urban,Total,15,59
Aileu,Urban,Total,16,68
Aileu,Urban,Total,17,62
Aileu,Urban,Total,18,57
Aileu,Urban,Total,19,74
Aileu,Urban,Total,20,54
Aileu,Urban,Total,21,55
Aileu,Urban,Total,22,49
Aileu,Urban,Total,23,58
Aileu,Urban,Total,24,48
Aileu,Urban,Total,25,48
Aileu,Urban,Total,26,63
Aileu,Urban,Total,27,52
Aileu,Urban,Total,28,51
Aileu,Urban,Total,29,53
Aileu,Urban,Total,30,46
Aileu,Urban,Total,31,41
Aileu,Urban,Total,32,45
Aileu,Urban,Total,33,48
Aileu,Urban,Total,34,46
Aileu,Urban,Total,35,54
Aileu,Urban,Total,36,55
Aileu,Urban,Total,37,36
Aileu,Urban,Total,38,41
Aileu,Urban,Total,39,41
Aileu,Urban,Total,40,42
Aileu,Urban,Total,41,28
Aileu,Urban,Total,42,26
Aileu,Urban,Total,43,17
Aileu,Urban,Total,44,8
Aileu,Urban,Total,45,9
Aileu,Urban,Total,46,26
Aileu,Urban,Total,47,18
Aileu,Urban,Total,48,22
Aileu,Urban,Total,49,19
Aileu,Urban,Total,50,17
Aileu,Urban,Total,51,17
Aileu,Urban,Total,52,20
Aileu,Urban,Total,53,17
Aileu,Urban,Total,54,19
Aileu,Urban,Total,55,13
Aileu,Urban,Total,56,9
Aileu,Urban,Total,57,12
Aileu,Urban,Total,58,16
Aileu,Urban,Total,59,14
Aileu,Urban,Total,60,18
Aileu,Urban,Total,61,7
Aileu,Urban,Total,62,25
Aileu,Urban,Total,63,13
Aileu,Urban,Total,64,14
Aileu,Urban,Total,65,10
Aileu,Urban,Total,66,8
Aileu,Urban,Total,67,19
Aileu,Urban,Total,68,11
